sentence,modified,transformation
"How would you feel if you told Tom that you loved him, but he told you that he didn't love you?",How would you feel if you told Toms that you loved him but he told you that he didnt love you,RemovePunctuationDestroyer
I told her he was my boyfriend.,Me told her he was my boyfriend.,IMeDestroyer
Later she also presented the game show TROS Triviant.,Later she also presents the game show TROS Triviant.,VerbAgreementDestroyer
"In some cases, the person was known by a composed name (polynym) before, and selected a single name.","In some case, the people was known by a composed names (polynyms) before, and selected a single names.",SingularsAndPluralsDestroyer
"He was left on the sidewalk for the night, his crate covered with tarpaulins.","He was left on sidewalk for the night, his crate covered with tarpaulins.",DeterminersDestroyer
"People used to think his name was Thomas a Becket, but it is now known to be wrong.","People used to thinking his name was Thomas a Becket, but it is now known to be wrong.",ProgressiveDestroyOperation
"It is privately-owned, and one of the oldest universities in the country.","It is privately-owned, and one of oldest universities in the country.",DeterminersDestroyer
"Undead : Ability to remove fear, sleep and charm effects, eat corpses to regenerate heath, underwater breathing increased, higher shadow resistance.","Undead : Ability to removing fear, sleep and charm effects, eat corpses to regenerate heath, underwater breathing increased, higher shadow resistance.",ProgressiveDestroyOperation
Tom is trying to get his weight down.,Toms is trying to get his weights down.,SingularsAndPluralsDestroyer
"You have a thing for Mary, don't you?","You have thing for Mary, don't you?",DeterminersDestroyer
I thought that it was funny.,I thought that it were funny.,ReplaceTokensDestroyer
"When spring comes, they dig up the fields and plant seeds.",When spring comes they dig up the fields and plant seeds,RemovePunctuationDestroyer
There are two members: Laura-Mary Carter and Steven Ansell.,There is two members: Laura-Mary Carter and Steven Ansell.,ThirdPersonVerbChanger
"At this tournament, he played all 3 matches and scored 2 goals.",At this tournament he played all 3 matches and scored 2 goals,RemovePunctuationDestroyer
"Upon its release, The Gods Must Be Crazy made the more money than any other foreign movie.","Upon its release, Gods Must Be Crazy made more money than other foreign movie.",DeterminersDestroyer
I told you Tom and Mary were fast.,i told you tom and mary was fast.,ReplaceTokensDestroyer
Can you please help me look for my wallet?,can you please help me look for my wallet,CapitalsDestroyer
His brother is always watching television.,His brother am always watching television.,ThirdPersonVerbChanger
"In 1936, Quill said that ""the Irish Labour Movement has its own road to travel and had no place for the cries of Fascism or Communism that plagued the world today.""","In 1936, Quill says that ""the Irish Labour Movement have its own road to travels and had no place for the cries of Fascism or Communism that plagued the world today.""",VerbAgreementDestroyer
I read that a typhoon is coming.,I readsing that a typhoon am coming.,ProgressiveDestroyOperation
"The game was released November 10, 2014.","The game were released November 10, 2014.",ReplaceTokensDestroyer
Are you going to the post office?,being you going to the post office?,ProgressiveDestroyOperation
How much money do you have on you?,How much money did you have on you?,VerbAgreementDestroyer
She played in eighteen Grand Slam singles finals; all except one of these were during the 1970s.,She played in eighteen Grand Slam singles finals; all except one of these was during the 1970s.,ReplaceTokensDestroyer
The police use drones equipped with cameras and loudspeakers to find illegal gatherings and disperse crowds.,The police uses drones equipped with cameras and loudspeakers to find illegal gatherings and disperse crowds.,ThirdPersonVerbChanger
"Together, they make up an area of convert.","Together, they make up area of convert.",DeterminersDestroyer
This avoids the need for write-back or write-through caching.,This avoided the need for write-back or wrote-through cached.,TimeAgreementDestroyer
This term lasts until the President declares in writing that they are no longer unable to execute the duties of their office themselves.,This term lasts until the President declares in writing that they are no longest unable to execute the duties of their office themselves.,ComparativeSuperlativeDestroyer
Mennad walked back to his car.,Mennad walk back to his car.,TimeAgreementDestroyer
I'm the one who hit Tom.,I is the one who hit Tom.,ThirdPersonVerbChanger
A vesicle is a bubble of liquid within a cell.,An vesicle is an bubble of liquid within an cell.,DeterminersReplacer
Tom's biggest fear is marrying the wrong girl.,Tomss biggest fear is marrying the wrong girl.,PossessivesDestroyer
Sami asked me to call him.,Sami asked me to called him.,VerbAgreementDestroyer
It is not an official language but is spoken by about half a million people.,It is not official language but is spoken by about half million people.,DeterminersDestroyer
I won't ever talk with him.,I won't ever talking with him.,ProgressiveDestroyOperation
"They used smokeless powder, which was new at the time.","They uses smokeless powder, which was new at the time.",VerbAgreementDestroyer
She served as the Minister of the Interior from 4 December 2014 to 11 January 2017.,She served as Minister of the Interior from 4 December 2014 to 11 January 2017.,DeterminersDestroyer
"In 1994, he co-founded with his wife the Nicholas & Dorothy Cummings Foundation.","In 1994, he co-founded with his wife Nicholas & Dorothy Cummings Foundation.",DeterminersDestroyer
"Body waves go through the Earth, and surface waves go along the Earth's surface.","Body waves og through hte Earth, and surface waves go along the Earth's surface.",RandomTypoDestroyOperation
Mary has no close friends to help her with her problems.,Mary has close friends to help her with her problems.,DeterminersDestroyer
Bejaia is an Algerian city.,bejaia am an algerian city.,ThirdPersonVerbChanger
Tom didn't seem to be as thirsty as Mary seemed to be.,Tom didn't seem for be as thirsty as Mary seemed for be.,ToForDestroyer
"The biggest is the lines of watchers were depleted due to players being too enthusiastic and colliding with each other, causing injuries.","The bigger is the lines of watchers were depleted due to players being too enthusiastic and colliding with each other, causing injuries.",ComparativeSuperlativeDestroyer
Tom didn't need to help Mary do that.,Tom didn't need to help Mary doing that.,ProgressiveDestroyOperation
Higher temperatures are needed.,Higher temperature are needed.,SingularsAndPluralsDestroyer
"The 2007 novel, On Chesil Beach, was a short novel about one couple in England and how they experience love and sexuality in the early 1960s.","The 2007 novel, On Chesil Beach, was a short novel about one couple in England and how they experienced love and sexuality in the early 1960s.",VerbAgreementDestroyer
You favour the death penalty?,You favours the death penalty?,ThirdPersonVerbChanger
"My train leaves at seven, arriving in Tokyo at nine.",My train leaves at seven arriving in Tokyo at nine,RemovePunctuationDestroyer
Every edge begins at that vertex.,Every edge begins at that vertex,RemovePunctuationDestroyer
"They felt that if the government knew who they were, they would be in danger of others finding out.","They felt that if the government knew who they were, they would being in danger of others finding out.",ProgressiveDestroyOperation
He just parachuted in.,He just parachuted on.,InAtOnDestroyer
Ten characters are playable.,Ten characters is playable.,ThirdPersonVerbChanger
Why don't you try and trust Tom a little more?,Why don't you try and trust Tom a little most?,ComparativeSuperlativeDestroyer
Sami was scoffing at Layla.,Sami were scoffing at Layla.,ReplaceTokensDestroyer
Article 11 is a section of this proposed directive that will restrict access to linking to other websites.,Article 11 is an section of this proposed directive that will restrict access to linking to other websites.,DeterminersReplacer
"Until 1946, the university was usually call University of Lima, then in that year it was officialized its name as ""Universidad Nacional Mayor de San Marcos"" (National University of San Marcos).","Until 1946, the university was usually call University of Lima, then at that year it was officialized its name as ""Universidad Nacional Mayor de San Marcos"" (National University of San Marcos).",InAtOnDestroyer
"In 1997, it was nominated for the World Fantasy Award.","In 1997, it were nominated for the World Fantasy Award.",ReplaceTokensDestroyer
Improv helped to distract me from my usual stage bullshit and put my focus somewhere else so that I could stop acting.,Improv helped to distracting me from my usual stage bullshit and put my focus somewhere else so that I could stop acting.,ProgressiveDestroyOperation
He went to Algiers and did his PhD.,he went to algiers and did his phd,CapitalsDestroyer
"Under the terms of the deal, Turner would immediately sell MGM's United Artists back to Kerkorian.","Under the terms of the deal, Turner would immediately selling MGM's United Artists back to Kerkorian.",ProgressiveDestroyOperation
Here comes the postie carrying a parcel.,Here comes the postie carrying a parcel,RemovePunctuationDestroyer
"They don't live here, do they?","They doesn't live here, do they?",ThirdPersonVerbChanger
The story dealt with some unusually serious issues for a musical.,story dealt with unusually serious issues for musical,RemovePunctuationDestroyer
It spent 35 weeks on the charts and re-entered Top 75 charts on several occasions until 1997.,It spent 35 weeks on charts and re-entered Top 75 charts on several occasions until 1997.,DeterminersDestroyer
It is similar to the island Hawaii as both are above hotspots in the Earth's crust.,It is similar to island Hawaii as are above hotspots in the Earth's crust.,DeterminersDestroyer
He personally blocked the door to Foster Auditorium at the University of Alabama to prevent the enrollment of two black students.,He personally blocked the door to Foster Auditorium at the University of Alabama to prevent the enrollment of two black students,RemovePunctuationDestroyer
The Portuguese Grand Prix returned to the calendar in 1984 to the Autodromo do Estoril in 1984.,The Portuguese Grand Prix returned to the calendar in 1984 to the Autodromo does Estoril in 1984.,ThirdPersonVerbChanger
National Parks are established in about 7% of the total land area of the prefecture.,National Parks are established in about 7% of total land area of the prefecture.,DeterminersDestroyer
"If by some chance I failed, I'd try again.","If by some chance I failed, I try again.",ModalVerbRemover
Tom needs to learn a few basics.,Tom needs to learn few basics.,DeterminersDestroyer
The earth hath yielded her increase.,the earth hath yielded her increase,CapitalsDestroyer
Mary told me she thought she was going to be able to do that.,Mary told me she thought she was going to be able to do .,DeterminersDestroyer
How much will I pay for NHS dental treatment?,How much will I paying for NHS dental treatment?,ProgressiveDestroyOperation
"Muslims, Christians, and Jews worship the same god.","Muslim, Christian, and Jew worship the same gods.",SingularsAndPluralsDestroyer
Fernvale is the only station along the Sengkang LRT Line which uses side platforms.,Fernvale is only station along the Sengkang LRT Line which uses side platforms.,DeterminersDestroyer
"Wood is hard to cut, but it is also strong.","Wood be hard to cutting, but it is also strong.",VerbAgreementDestroyer
Hunt is married to Mary Collins.,Hunt am married to Mary Collins.,ThirdPersonVerbChanger
The practice of male circumcision is ancient and developed in parallel amongst different cultures.,practice of male circumcision is ancient and developed in parallel amongst different cultures.,DeterminersDestroyer
People can have health problems if their blood pressure is too high or too low.,People can having health problems if their blood pressure is too high or too low.,ProgressiveDestroyOperation
What kind of costumes did you buy for the children?,What kind of costumes did you buying for the children?,ProgressiveDestroyOperation
I didn't know Tom was a French teacher.,I don't knows Tom was a French teacher.,VerbAgreementDestroyer
I didn't send Tom any wine.,I didnt send Tom any wine,RemovePunctuationDestroyer
Can she get the law degree?,she get the law degree?,ModalVerbRemover
Di Resta moved up to single-seaters at the end of 2002. he competed in the British Formula Renault Winter Series.,Di Resta moved up for single-seaters at the end of 2002. he competed in the British Formula Renault Winter Series.,ToForDestroyer
In 2013 she was in the Bavarian Academy of Writing.,In 2013 she aws in the Bavarian Academy of Writing.,RandomTypoDestroyOperation
"The product of integers is an integer (for example, (12 + 2345 x (67 - 8) ) x 9 is an integer).","product of integers is integer (for example, (12 + 2345 x (67 - 8) ) x 9 is an integer).",DeterminersDestroyer
I'll complete my training soon.,Me'll complete my training soon.,IMeDestroyer
Both Tom and I should've known better.,Both Tom and I shouldve known better,RemovePunctuationDestroyer
They both speak French well.,They both speak Frenches good.,ReplaceTokensDestroyer
Tom and Mary said they would do that for me.,Tom and Mary said they would doing that for me.,ProgressiveDestroyOperation
We need your help now.,We needs your help now.,ThirdPersonVerbChanger
"Sennewald was Commander in Chief, U.N. Command/Commander in Chief, ROK/U.","Sennewald were Commander in Chief, U.N. Command/Commander in Chief, ROK/U.",ReplaceTokensDestroyer
Rowf: Rowf is a black Labrador-mix.,Rowf: Rowf am a black Labrador-mix.,ThirdPersonVerbChanger
He was Russia's most famous writer and Tchaikovsky made several of his stories into operas.,He were Russia's most famous writer and Tchaikovsky made several of his stories into operas.,ReplaceTokensDestroyer
Someone was waiting for Sami.,Someone were waiting for Sami,ReplaceTokensDestroyer
There was a lot of excitement in the stands as the fans cheered for their teams.,There was lot of excitement in stands as the fans cheered for their teams.,DeterminersDestroyer
Then the 2nd Armored Division arrived and the Germans were pushed out of the town.,Then the 2nd Armored Division arrived and the Germans were pushed out of the town,RemovePunctuationDestroyer
"Usher uses a pick-up line ""You make me wanna leave the one I'm wish and start a new relationship with you"".","Usher used a pick-up line ""You makes me wanna leave the one I is wishes and start a new relationship with you"".",ThirdPersonVerbChanger
I can still see my mother's face.,I can still see my mothers face,RemovePunctuationDestroyer
"The final 2 episodes aired in a 2-hour marathon during the NFC Championship Game on January 22, 2012.","The final 2 episodes aired at a 2-hour marathon during the NFC Championship Game in January 22, 2012.",InAtOnDestroyer
"It is referred to, in religious contexts, as Kashi.","It is referred to, in religious context, as Kashis.",SingularsAndPluralsDestroyer
Please stop the war.,Please stop war.,DeterminersDestroyer
I don't feel comfortable posing in the nude.,I doesn't feel comfortable posing in the nude.,ThirdPersonVerbChanger
Vacheron Constantin opened 15 boutiques and 500 shops in 80 countries of the world.,Vacheron Constantin opened 15 boutiques and 500 shops at 80 countries of the world.,InAtOnDestroyer
The term is also used for other similar flatworms.,The term is also used for other similar flatworms,RemovePunctuationDestroyer
Sami is a classic scholar.,Sami si a classic scohlar.,RandomTypoDestroyOperation
"Tom and Mary haven't finished eating yet, have they?","Tom and Mary havingn't finished eating yet, have they?",ProgressiveDestroyOperation
It's probably going to be impossible for Tom to do that by himself.,Its probably going to be impossible for Tom to do that by himself.,CommonMispellsDestroyOperation
Emanuel won his second term during the run-off re-election campaign.,Emanuel own his second term during the run-off er-election campaign.,RandomTypoDestroyOperation
There are 691 people in Dicastillo.,There being 691 people in Dicastillo.,ProgressiveDestroyOperation
He is nice.,He am nice.,PrepositionVerbAgreementDestroyer
You're sitting in my seat.,You're sit in my seat.,VerbAgreementDestroyer
Similar to a live load is it not permanent and may move due to wind causing snow to drift on a roof.,Similar to a live load is it not permanent and moved due to wind cause snow to drift on a roof.,VerbAgreementDestroyer
Tom and Mary are going to be fined if they do that again.,Tom and Mary is going to be fined if they doesing that again.,ProgressiveDestroyOperation
Mike can't have done such a thing.,Mike can't have done such an thing.,DeterminersReplacer
It's best for you to follow the doctor's advice.,It am best for you to follow the doctor's advice.,ThirdPersonVerbChanger
Have fun and come back soon.,Had fun and came back soon.,TimeAgreementDestroyer
"Repeat the process for females, because the percentage of female graduates is different from males.","Repeat process for females, because the percentage of female graduates is different from males.",DeterminersDestroyer
"Tom knew that Mary couldn't swim, but he asked her to go swimming with him anyway.","Tom knew that Mary could'nt swim, but he asked hre to go swimming with him anyway.",RandomTypoDestroyOperation
It's just not fun anymore.,It am just not fun anymore.,PrepositionVerbAgreementDestroyer
"Overland Park was awarded ""Best city to raise a family"" and ""One of the most popular cities for millenials"" in 2018.","Overland Park am award ""Best city to raise a family"" and ""One of the most popular cities for millenials"" in 2018.",VerbAgreementDestroyer
Tom needs to be there tonight.,Tom needs be there tonight.,RandomWordRemoveOperation
Saturn believed he had eaten Jupiter but Jupiter was saved.,Saturn believes he hadn't eats Jupiter but Jupiter were saved.,ReplaceTokensDestroyer
I think Tom might be curious about that.,I thinking Toms might be curious about that.,SingularsAndPluralsDestroyer
How can you translate what you don't understand?,How can you translate what you don't understands?,VerbAgreementDestroyer
Sami didn't want a cat in his house.,Sami didn't wanting a cat in his house.,ProgressiveDestroyOperation
"Scruton wrote over 50 books on philosophy, art, music, politics, literature, culture, sexuality, and religion.","Scrutons wrote over 50 book on philosophies, arts, musics, politic, literatures, cultures, sexualities, and religions.",SingularsAndPluralsDestroyer
"It was based on the eponymous series broadcast in the 1970s, which in turn was based on the book series by Monteiro Lobato.","It was based in the eponymous series broadcast at the 1970s, which at turn was based at the book series by Monteiro Lobato.",InAtOnDestroyer
To protect racers' shins the same as punch guard.,To protect racers' shins same as punch guard.,DeterminersDestroyer
I'm surprised that Tom doesn't know how to speak French.,Ibeing surprised that Tom doesn't know how to speak French.,ProgressiveDestroyOperation
I told Tom that I thought Mary might be interested in doing that.,Me told Tom that me thought Mary might be interested in doing that.,IMeDestroyer
The president is the head of the executive branch of the federal government of the United States and is the chairman of the US cabinet.,The president is head of the executive branch of the federal government of the United States and is the chairman of the US cabinet.,RandomWordRemoveOperation
Tom said that Mary is sleepy.,Tom said that Mary am sleepy,RemovePunctuationDestroyer
Let us keep this up as long as we can.,Let us keep thsi up sa long as we can.,RandomTypoDestroyOperation
"One of them and the biggest one, is the Green Apes, founded in 2002.","One of them and the bigger one, is the Green Apes, founded in 2002.",ComparativeSuperlativeDestroyer
Tom was disgruntled.,Toms was disgruntled.,SingularsAndPluralsDestroyer
SmackDown is usually taped on Tuesday evening and shown Friday evening on MyNetworkTV the same week.,SmackDown is usually taped on Tuesday evening and shown Friday evening on MyNetworkTV same week.,DeterminersDestroyer
Sami is going to post videos more regularly.,Sami is go to posted videos more regularly.,VerbAgreementDestroyer
This is probably the earliest of the Jehol biota lagerstatte sites.,This am probably the earliest of the Jehol biota lagerstatte sites.,ThirdPersonVerbChanger
"Wood is hard to cut, but it is also strong.","Wood am hard to cut, but it is also strong.",ThirdPersonVerbChanger
It is about a highly unattractive woman who goes to great lengths to take revenge on her husband and his attractive lover.,It am about a highly unattractive woman who go to great lengths to take revenge on her husband and his attractive lover.,ThirdPersonVerbChanger
We need a ladder.,We needs a ladder.,ThirdPersonVerbChanger
"He was known for his roles as Lee Joo-wang in the televisions series Miss Mermaid, the Plastic surgeon in Time (2006) and as himself in The Weight (2013).","He is knew for his roles as Lee Joo-wang in the televisions series Miss Mermaid, the Plastic surgeon in Time (2006) and as himself in The Weight (2013).",TimeAgreementDestroyer
He liked some authors more than others.,He liked some authors most than others,ComparativeSuperlativeDestroyer
Both Tom and Mary stood up.,Both Toms and Marys stood up.,SingularsAndPluralsDestroyer
"In the USA, summer begins at summer solstice, winter at winter solstice, spring at the spring (vernal) equinox and autumn at the autumnal equinox.",In the USA summer begins at summer solstice winter at winter solstice spring at the spring vernal equinox and autumn at the autumnal equinox,RemovePunctuationDestroyer
Another less formal word for heterosexual is straight.,less formal word for heterosexual is straight.,DeterminersDestroyer
Could you give me a lift?,could you give me a lift?,CapitalsDestroyer
I wanted Tom to learn French.,I wanted Tom for learn French.,ToForDestroyer
I do hope you get well soon.,I do hoped you gets well soon.,VerbAgreementDestroyer
I think it's not good for him to go alone.,I think it am not good for him to go alone.,PrepositionVerbAgreementDestroyer
My only religious training came because the Minta required that all students take classes in their respective religions.,My only religious training came because the Minta required that all students take classes in their respective religions,RemovePunctuationDestroyer
I study French here.,I studiesing French here.,ProgressiveDestroyOperation
I'm afraid I don't follow.,I aren't afraid I didn't follow.,VerbAgreementDestroyer
The entire song is almost entirely leader/chorus call and response.,entire song is almost entirely leader/chorus call and response.,DeterminersDestroyer
Myllarguten was a 19th-century musician.,Myllarguten was 19th-century musician.,DeterminersDestroyer
"Stephen Owen, An Anthology of Chinese Literature: Beginnings to 1911 (New York, London: W.W. Norton, 1996): 565. Most of his poems are ""boudoir""-style verses that described the opulent furnishings and gardens of solitary women and their hidden desires.","Stephen Owen, An Anthology of Chinese Literature: Beginnings to 1911 (New York, London: W.W. Norton, 1996): 565. more of his poems are ""boudoir""-style verses that described the opulent furnishings and gardens of solitary women and their hidden desires.",ComparativeSuperlativeDestroyer
"Yanni's final words on the phone were: ""I love you, Skura.""","Yanni's final words on phone were: ""I love you, Skura.""",DeterminersDestroyer
Former member Donnie Steele will do Paul Gray's part while the band is playing live shows.,Former member Donnie Steele will do Paul Gray's part while the band am playing live shows.,ThirdPersonVerbChanger
This type of OS is usually bought from a company that only works on embedded operating systems.,This type of OS am usually bought from a company that only work on embedded operating systems.,ThirdPersonVerbChanger
"From 1975 to 1987 he was, for three terms, the Massachusetts Attorney General.","from 1975 to 1987 he were, for three terms, the massachusetts attorney general.",ReplaceTokensDestroyer
Fewer people have come to wear hats after the war.,Fewer person have come to wear hat after the wars.,SingularsAndPluralsDestroyer
I started learning French when I was thirteen years old.,Me started learning French when me was thirteen years old.,IMeDestroyer
These parts are mathematically related to each.,These parts are mathematically related for each.,ToForDestroyer
I'll have to tell my boss that I won't be in tomorrow.,Me'll have to tell my boss that me won't be in tomorrow.,IMeDestroyer
"Tom didn't know how to say ""thank you"" in French.","Toms didn't know how to say ""thank you"" in Frenches.",SingularsAndPluralsDestroyer
I hope I don't see Tom again.,I hopes I doesn't see Tom again.,ThirdPersonVerbChanger
He speaks two foreign languages.,He speak two foreign languages.,PrepositionVerbAgreementDestroyer
The British did not win.,The British did not win,RemovePunctuationDestroyer
"This is a quiet dog for indoors, but needs to have regular exercise and play time.","This is an quiet dog for indoors, but needs to have regular exercise and play time.",DeterminersReplacer
There are galaxies of different sizes and type.,There are galaxies of different sizes and type,RemovePunctuationDestroyer
Many of them concern common issues of the day.,Many of them concerning common issues of the day.,ProgressiveDestroyOperation
His ambition was to be a great politician.,His ambition were to be a great politician.,ReplaceTokensDestroyer
Do you know any good German movies?,Do you know good German movies?,DeterminersDestroyer
His father and stepmother did not want him at home so he left home.,His father and stepmother did not want him on home so he left home.,InAtOnDestroyer
"Dave Rollin Smith (October 13, 1940 February 15, 2019) was an American archivist.","Daves Rollins Smiths (Octobers 13, 1940 Februarys 15, 2019) were an American archivists.",SingularsAndPluralsDestroyer
After the war the king became ill and died in 1952.,After the war the king becomes ill and died in 1952.,VerbAgreementDestroyer
This sea is just as deep as it is wide.,This sea am just as deep as it is wide.,ThirdPersonVerbChanger
Tom and Mary said that they hope it'll happen soon.,Tom and Mary said that they hope it happen soon.,ModalVerbRemover
This event marked the end of Muslim rule in Iberia.,This events marked the ends of Muslim rules in Iberias.,SingularsAndPluralsDestroyer
"When the featherfoot is hunting you, it waits till you're alone or in a small group, at night walking to a destination.","When the featherfoot is hunting you, it waits till you're alone or in a small group, at night walking for a destination.",ToForDestroyer
"The block is something scented to smell like different things, such as cherries.",The block is something scented to smell like different things such as cherries,RemovePunctuationDestroyer
Ziri is cleaning up the kitchen.,Ziri am cleans up the kitchen.,VerbAgreementDestroyer
"Mary is going to apologize, isn't she?","Mary is going to apologizing, isn't she?",ProgressiveDestroyOperation
"Unlike Chinese astronomical clock, it could measure the accurate time by observing the whole movement of universe.","Unlike Chinese astronomical clock, it could measure accurate time by observing the whole movement of universe.",DeterminersDestroyer
I suspect Mary got what she wanted.,I usspect Mary gto what she wanted.,RandomTypoDestroyOperation
This is an unwritten language.,is unwritten language.,DeterminersDestroyer
The eastern part had similar problems.,The eastern parts had similar problem,SingularsAndPluralsDestroyer
"The Ruy Lopez is one of the most common and well liked openings, with many ways to play it.","The Ruy Lopez am one of the more common and well liked openings, with many ways to play it.",ComparativeSuperlativeDestroyer
I advised Tom to go to bed early.,I advised Tom to going to bed early.,ProgressiveDestroyOperation
"At present, three medals are awarded each year.","At present, three medals are awarded year.",DeterminersDestroyer
Tom said that it was cool.,Tom said that it were cool.,ReplaceTokensDestroyer
"The word is believed to come from ""","The word is believed to comes from """,VerbAgreementDestroyer
Nilesat allowed for the launch of several specialized TV channels in addition to Egyptian Satellite Channel (ESC) and Nile TV.,Nilesat allowed for launch of several specialized TV channels in addition to Egyptian Satellite Channel (ESC) and Nile TV.,DeterminersDestroyer
He asked me for a cigarette.,He asked me for cigarette.,DeterminersDestroyer
"After the game, he took a final lap around the rink and was saluted by fans, teammates and opponents.","After the game, he took an final lap around the rink and was saluted by fans, teammates and opponents.",DeterminersReplacer
"When Davison went to jail, Brewster went back home to Scrooby for a time.","When Davisons go to jails, Brewsters went back home to Scroobys for a times.",SingularsAndPluralsDestroyer
I can still see my mother's face.,I can still seeing my mother's face.,ProgressiveDestroyOperation
Tom has good reason to be angry.,Tom have good reason to be angry.,ThirdPersonVerbChanger
"Tom is ready to help, isn't he?",Tom is ready to help isnt he,RemovePunctuationDestroyer
"According to EN ISO 13850, the kill switch has to be red on a yellow background.","According to EN ISO 13850, kill switch has to be red on yellow background.",DeterminersDestroyer
"Also, the food in Peru is very diverse, including typical dishes like Ceviche and Broiled Chicken.","Also, food in Peru is very diverse, including typical dishes like Ceviche and Broiled Chicken.",DeterminersDestroyer
What do you think will happen next?,What did you think happened next?,TimeAgreementDestroyer
"as superior in wisdom, to the citizens of this state.","as superior on wisdom, to the citizens of this state.",InAtOnDestroyer
They are training as wizards.,They being training as wizards.,ProgressiveDestroyOperation
"While critics often praised The West Wing for its writing, others faulted the show as unrealistically optimistic.","While critics often praise The West Wing for its writing, others faulted the show as unrealistically optimistic.",VerbAgreementDestroyer
It was founded in 1976.,It were founded in 1976.,ReplaceTokensDestroyer
It is convert of land and convert of water.,It be convert of land and convert of water.,VerbAgreementDestroyer
They are used in table games as play money.,They are used in tables game as play monies.,SingularsAndPluralsDestroyer
Hesse used an existentialist idea from Kierkegaard to write this book.,Hesse used an existentialist idea from Kierkegaard for write this book.,ToForDestroyer
That's very normal.,Thats very normal,RemovePunctuationDestroyer
"He sent you here, didn't he?","he send you here, didn't he?",VerbAgreementDestroyer
In the Dover Strait the water is about 30 meters deep.,In the Dover Strait the water am about 30 meters deep.,ThirdPersonVerbChanger
"After Danforth died in 1699, the people made Framingham a town in 1700.","after danforth died in 1699, the people made framingham a town in 1700.",CapitalsDestroyer
She represented the 5th district.,She represented 5th district.,DeterminersDestroyer
"After the war, some families came to live here and in 1864, during the period of the Restoration War, the city was made a municipality.","after the war, some families came to living here and in 1864, during the period of the restoration war, the city was made a municipality.",ProgressiveDestroyOperation
The first bridge on the site was designed in 1809-10 by John Rennie for the Strand Bridge Company and opened in 1817 as a toll bridge.,The first bridge on the site were designed in 1809-10 by John Rennie for the Strand Bridge Company and opened in 1817 as a toll bridge.,ReplaceTokensDestroyer
I didn't really feel like drinking coffee.,i don'tn't really felt like drinking coffee.,VerbAgreementDestroyer
Tom doesn't want to become a lumberjack.,Tom don't want to become a lumberjack.,ThirdPersonVerbChanger
"His his father-in-law, the daimyo of Owari province, told him he should resign as daimyo instead of this.","His his father-in-law, the daimyo of Owari province, told him he resign as daimyo instead of this.",ModalVerbRemover
Each held convert of the chemical.,Each held converts of the chemicals,SingularsAndPluralsDestroyer
Abandon all hope.,Abandon all hopes.,SingularsAndPluralsDestroyer
Tom has been very nice to me.,Tmo has been very nice to me.,RandomTypoDestroyOperation
Tom was born in the back of a taxi.,Tom were born in the back of a taxi.,ReplaceTokensDestroyer
Tom's ideas were futuristic.,Tom's ideas was futuristic.,ReplaceTokensDestroyer
Luna 21 space mission is launched.,Luna 21 space mission is launched,RemovePunctuationDestroyer
The Rana took absolute power but continued to maintain the Shah family in the palace.,The Rana takes absolute powest but continued to maintain the Shah family in the palace.,ComparativeSuperlativeDestroyer
"A resident of Montclair, NJ for nearly 50 years, Yogi Berra remains an inspiration to different generations.","An resident of Montclair, NJ for nearly 50 years, Yogi Berra remains a inspiration to different generations.",DeterminersReplacer
"Because of that, the religious leadership in Iran supported him in many ways when he was elected.",Because of that the religious leadership in Iran supported him in many ways when he was elected,RemovePunctuationDestroyer
"After beating Hill, the Union army continued on to Centerville, Virginia.","After beating Hill, Union army continued on to Centerville, Virginia.",DeterminersDestroyer
What was the matter this morning?,What was the mattest this morning?,ComparativeSuperlativeDestroyer
The remaining Tamil people live in many other places.,The remaining Tamil people lives in many other places.,ThirdPersonVerbChanger
Tom burned all of his possessions.,Tom burned of his possessions.,DeterminersDestroyer
The midday sun is beating down.,The midday sun am beating down.,ThirdPersonVerbChanger
"Do you notice anything different about me? ""Um... Did you cut your hair?"" ""No, I bought some new glasses.""","Do you notice anythings different about me? ""Um... Did you cut your hairs?"" ""No, I bought some new glass.""",SingularsAndPluralsDestroyer
"There are over 115,000 people in the city and its suburbs.","There are over 115,000 people in city and its suburbs.",DeterminersDestroyer
Sami can tie his shoes.,Sami tie his shoes.,ModalVerbRemover
I'm not a computer person.,I'm not an computer person.,DeterminersReplacer
Helping others is never a waste of time.,Helping others is never an waste of time.,DeterminersReplacer
I'm so sick of hearing that nonsense.,Ibeing so sick of hearing that nonsense.,ProgressiveDestroyOperation
Modern architecture was most important during the 1970s and 1980s.,Modern architecture were most important during the 1970s and 1980s.,ReplaceTokensDestroyer
"On 1 January 2001 the former municipalities of Vauderens, Bionnens and Mossel merged into the municipality of Ursy.","In 1 January 2001 the former municipalities of Vauderens, Bionnens and Mossel merged into the municipality of Ursy.",InAtOnDestroyer
This is what life is all about.,this is what life is all about,CapitalsDestroyer
Tom let me know that he wouldn't do that.,Tom let me knowingn that he wouldn't doing that.,VerbAgreementDestroyer
Tom asked for it and he's going to get it.,Toms asked for it and he's going to get it.,SingularsAndPluralsDestroyer
Sauron was defeated and the war ended.,Sauron were defeat and the war ended.,VerbAgreementDestroyer
He may issue a pass to a vehicle's driver that is stamped with the vehicle's arrival time.,He issued a pass to a vehicle's driver that was stamp with the vehicle's arrival time.,TimeAgreementDestroyer
